, ID3=0x11, v3=0.00, vZ3=0.29
ID=0x12, v1=0.00, vZ1=17.81,ID2=0x13, v2=0.00, vZ2=29.29, ID3=0x11, v3=0.00, vZ3=27.38
ID=0x12, v1=0.00, vZ1=14.81,ID2=0x13, v2=0.00, vZ2=25.60, ID3=0x11, v3=0.00, vZ3=27.38
ID=0x12, v1=0.00, vZ1=11.86,ID2=0x13, v2=0.00, vZ2=29.29, ID3=0x11, v3=0.00, vZ3=27.38
ID=0x12, v1=0.00, vZ1=9.17,ID2=0x13, v2=0.00, vZ2=26.92, ID3=0x11, v3=0.00, vZ3=27.38
ID=0x12, v1=0.00, vZ1=6.78,ID2=0x13, v2=0.00, vZ2=30.24, ID3=0x11, v3=0.00, vZ3=3.62
ID=0x12, v1=0.00, vZ1=4.53,ID2=0x13, v2=0.00, vZ2=26.92, ID3=0x11, v3=0.00, vZ3=1.97
ID=0x12, v1=0.00, vZ1=2.20,ID2=0x13, v2=0.00, vZ2=30.94, ID3=0x11, v3=0.00, vZ3=26.39
ID=0x12, v1=0.00, vZ1=-0.36,ID2=0x13, v2=0.00, vZ2=23.66, ID3=0x11, v3=0.00, vZ3=25.48
ID=0x12, v1=0.00, vZ1=-3.17,ID2=0x13, v2=0.00, vZ2=23.66, ID3=0x11, v3=0.00, vZ3=0.22
ID=0x12, v1=0.00, vZ1=-6.15,ID2=0x13, v2=0.00, vZ2=23.66, ID3=0x11, v3=0.00, vZ3=19.07
ID=0x12, v1=0.00, vZ1=-9.09,ID2=0x13, v2=0.00, vZ2=23.66, ID3=0x11, v3=0.00, vZ3=0.22
ID=0x12, v1=0.00, vZ1=-11.87,ID2=0x13, v2=0.00, vZ2=23.66, ID3=0x11, v3=0.00, vZ3=-1.90
ID=0x12, v1=0.00, vZ1=-14.47,ID2=0x13, v2=0.00, vZ2=23.66, ID3=0x11, v3=0.00, vZ3=-1.90
ID=0x12, v1=0.00, vZ1=-16.89,ID2=0x13, v2=0.00, vZ2=23.66, ID3=0x11, v3=0.00, vZ3=-1.90
ID=0x12, v1=0.00, vZ1=-19.11,ID2=0x13, v2=0.00, vZ2=23.66, ID3=0x11, v3=0.00, vZ3=-1.90
ID=0x12, v1=0.00, vZ1=-21.21,ID2=0x13, v2=0.00, vZ2=4.29, ID3=0x11, v3=0.00, vZ3=-1.90
ID=0x12, v1=0.00, vZ1=-23.22,ID2=0x13, v2=0.00, vZ2=4.29, ID3=0x11, v3=0.00, vZ3=-1.90
ID=0x12, v1=0.00, vZ1=-25.15,ID2=0x13, v2=0.00, vZ2=19.61, ID3=0x11, v3=0.00, vZ3=-1.90
ID=0x12, v1=0.00, vZ1=-27.03,ID2=0x13, v2=0.00, vZ2=19.61, ID3=0x11, v3=0.00, vZ3=-27.85
ID=0x12, v1=0.00, vZ1=-28.85,ID2=0x13, v2=0.00, vZ2=-1.32, ID3=0x11, v3=0.00, vZ3=-29.54
ID=0x12, v1=0.00, vZ1=-30.47,ID2=0x13, v2=0.00, vZ2=-1.32, ID3=0x11, v3=0.00, vZ3=-1.90
ID=0x12, v1=0.00, vZ1=-31.80,ID2=0x13, v2=0.00, vZ2=-1.32, ID3=0x11, v3=0.00, vZ3=-31.12
ID=0x12, v1=0.00, vZ1=-32.82,ID2=0x13, v2=0.00, vZ2=-1.32, ID3=0x11, v3=0.00, vZ3=-32.45
ID=0x12, v1=0.00, vZ1=-33.49,ID2=0x13, v2=0.00, vZ2=-1.32, ID3=0x11, v3=0.00, vZ3=-12.55
ID=0x12, v1=0.00, vZ1=-33.83,ID2=0x13, v2=0.00, vZ2=-1.32, ID3=0x11, v3=0.00, vZ3=-33.49
ID=0x12, v1=0.00, vZ1=-33.88,ID2=0x13, v2=0.00, vZ2=-1.32, ID3=0x11, v3=0.00, vZ3=-19.11
ID=0x12, v1=0.00, vZ1=-33.67,ID2=0x13, v2=0.00, vZ2=-1.32, ID3=0x11, v3=0.00, vZ3=-21.01
ID=0x12, v1=0.00, vZ1=-33.28,ID2=0x13, v2=0.00, vZ2=-1.32, ID3=0x11, v3=0.00, vZ3=-34.24
